folder,exp_no,final_train_loss,final_val_loss,lr
outputs_01,0,2.265422344207764,2.268637657165528,0.0001
outputs_01,1,2.320948839187622,2.3155786991119385,0.0001
outputs_01,2,2.029414415359497,2.0755245685577397,0.0001
outputs_01,3,2.137502431869507,2.1598143577575684,0.0001
outputs_01,4,2.117394208908081,2.1510934829711914,0.0001
outputs_01,5,2.2126920223236084,2.230367660522461,0.0001
outputs_01,6,1.862292051315308,1.968386173248291,0.0001
outputs_01,7,1.996793270111084,2.057260274887085,0.0001
outputs_01,8,1.9587664604187007,2.031684637069702,0.0001
outputs_01,9,2.059471845626831,2.108821153640747,0.0001
outputs_01,10,1.740198254585266,1.8677417039871216,0.0001
outputs_01,11,1.8594855070114136,1.956820011138916,0.0001
outputs_01,12,1.788142204284668,1.920347094535828,0.0001
outputs_01,13,1.905277967453003,2.0001463890075684,0.0001
outputs_01,14,1.593764066696167,1.754641890525818,0.0001
outputs_01,15,1.6910438537597656,1.8388612270355225,0.0001
outputs_01,16,2.250163555145264,2.255081892,0.0001
outputs_01,17,2.3047449588775635,2.3025224208831787,0.0001
outputs_01,18,2.0205721855163574,2.0654447078704834,0.0001
outputs_01,19,2.127601861953736,2.151594877243042,0.0001
outputs_01,20,2.1185848712921143,2.153200149536133,0.0001
outputs_01,21,2.1988637447357178,2.220985174179077,0.0001
outputs_01,22,1.8533728122711184,1.9575636386871336,0.0001
outputs_01,23,1.973008155822754,2.041178941726685,0.0001
outputs_01,24,1.9842528104782104,2.0520405769348145,0.0001
outputs_01,25,2.085188627243042,2.127125024795532,0.0001
outputs_01,26,1.7440876960754397,1.8736844062805176,0.0001
outputs_01,27,1.843156337738037,1.936174750328064,0.0001
outputs_01,28,1.8040401935577397,1.936739802360535,0.0001
outputs_01,29,1.904355764389038,1.9968228340148928,0.0001
outputs_01,30,1.5932797193527222,1.7573683261871338,0.0001
outputs_01,31,1.6749963760375977,1.8210934400558472,0.0001
outputs_02,0,2.2555243968963623,2.268447160720825,0.0001
outputs_02,1,2.305168390274048,2.3115406036376958,0.0001
outputs_02,2,2.0372862815856934,2.0685789585113525,0.0001
outputs_02,3,2.123414993286133,2.139975547790528,0.0001
outputs_02,4,2.094965934753418,2.122764825820923,0.0001
outputs_02,5,2.1873855590820312,2.202079057693481,0.0001
outputs_02,6,1.8515753746032717,1.9466328620910645,0.0001
outputs_02,7,1.9623318910598757,2.0296099185943604,0.0001
outputs_02,8,1.980867624282837,2.0348949432373047,0.0001
outputs_02,9,2.1018881797790527,2.126370906829834,0.0001
outputs_02,10,1.7528560161590576,1.8903727531433103,0.0001
outputs_02,11,1.859534502029419,1.9553892612457275,0.0001
outputs_02,12,1.7961927652359009,1.9153317213058472,0.0001
outputs_02,13,1.9051337242126465,1.9900578260421755,0.0001
outputs_02,14,1.6054400205612185,1.7822166681289673,0.0001
outputs_02,15,1.6930115222930908,1.8523967266082764,0.0001
outputs_02,16,2.2466561794281006,2.263916254043579,0.0001
outputs_02,17,2.280305386,2.289667606,0.0001
outputs_02,18,2.008531093597412,2.051731824874878,0.0001
outputs_02,19,2.090054750442505,2.116391181945801,0.0001
outputs_02,20,2.089890241622925,2.116230726242065,0.0001
outputs_02,21,2.1836133003234863,2.199571132659912,0.0001
outputs_02,22,1.8303860425949097,1.942440152168274,0.0001
outputs_02,23,1.947217822,2.011077404022217,0.0001
outputs_02,24,2.0067741870880127,2.0488932132720947,0.0001
outputs_02,25,2.125127554,2.1444203853607178,0.0001
outputs_02,26,1.7461754083633425,1.872598886489868,0.0001
outputs_02,27,1.8553221225738523,1.954229474067688,0.0001
outputs_02,28,1.802911877632141,1.9236162900924685,0.0001
outputs_02,29,1.909860134124756,1.9891952276229856,0.0001
outputs_02,30,1.597927451133728,1.7783283,0.0001
outputs_02,31,1.6737852096557615,1.841794490814209,0.0001
output_03,0,2.261685371398926,2.284088134765625,0.0001
output_03,1,2.332483291625977,2.348515987,0.0001
output_03,2,1.9933481216430664,2.0575551986694336,0.0001
output_03,3,2.1331918239593506,2.172334671020508,0.0001
output_03,4,2.113787651062012,2.1576077938079834,0.0001
output_03,5,2.2068395614624023,2.238772392272949,0.0001
output_03,6,1.81514585,1.946466804,0.0001
output_03,7,1.9651970863342283,2.051968812942505,0.0001
output_03,8,1.9094585180282595,2.0000662803649902,0.0001
output_03,9,2.054262161254883,2.105766534805298,0.0001
output_03,10,1.6308026313781738,1.7891818284988403,0.0001
output_03,11,1.7458348274230957,1.8837170600891116,0.0001
output_03,12,1.703842282295227,1.842262983322144,0.0001
output_03,13,1.856719255447388,1.9587674140930176,0.0001
output_03,14,1.466647028923035,1.6655282974243164,0.0001
